Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8603
Anjou,2889
Baie-D'Urfé,67
Beaconsfield,369
Côte-des-Neiges–Notre-Dame-de-Grâce,9652
Côte-Saint-Luc,2268
Dollard-des-Ormeaux,2196
Dorval,661
Hampstead,322
Kirkland,538
Lachine,2496
LaSalle,4498
L'Île-Bizard–Sainte-Geneviève,862
Mercier–Hochelaga-Maisonneuve,7291
Montréal-Est,221
Montréal-Nord,7894
Montréal-Ouest,126
Mont-Royal,939
Outremont,1084
Pierrefonds–Roxboro,3294
Plateau-Mont-Royal,3764
Pointe-Claire,860
Rivière-des-Prairies–Pointe-aux-Trembles,7677
Rosemont–La Petite Patrie,5964
Sainte-Anne-de-Bellevue,118
Saint-Laurent,6340
Saint-Léonard,6528
Senneville,22
Sud-Ouest,3190
Verdun,2617
Ville-Marie,3958
Villeray–Saint-Michel–Parc-Extension,9072
Westmount,616
Territoire à confirmer,1697
Total à Montréal,108693
