Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,1610
Anjou,453
Baie-D'Urfé,11
Beaconsfield,49
Côte-des-Neiges–Notre-Dame-de-Grâce,1588
Côte-Saint-Luc,401
Dollard-des-Ormeaux,283
Dorval,146
Hampstead,48
Kirkland,83
Lachine,409
LaSalle,938
L'Île-Bizard–Sainte-Geneviève,139
Mercier–Hochelaga-Maisonneuve,1502
Montréal-Est,25
Montréal-Nord,1791
Montréal-Ouest,16
Mont-Royal,225
Outremont,220
Pierrefonds–Roxboro,368
Plateau-Mont-Royal,696
Pointe-Claire,143
Rivière-des-Prairies–Pointe-aux-Trembles,1466
Rosemont–La Petite Patrie,1092
Sainte-Anne-de-Bellevue,16
Saint-Laurent,688
Saint-Léonard,766
Senneville,<5
Sud-Ouest,719
Verdun,762
Ville-Marie,527
Villeray–Saint-Michel–Parc-Extension,1387
Westmount,143
Territoire à confirmer,781
Total à Montréal,19492
