Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2484
Anjou,734
Baie-D'Urfé,31
Beaconsfield,63
Côte-des-Neiges–Notre-Dame-de-Grâce,2367
Côte-Saint-Luc,544
Dollard-des-Ormeaux,449
Dorval,204
Hampstead,59
Kirkland,133
Lachine,700
LaSalle,1301
L'Île-Bizard–Sainte-Geneviève,224
Mercier–Hochelaga-Maisonneuve,2486
Montréal-Est,48
Montréal-Nord,2651
Montréal-Ouest,30
Mont-Royal,291
Outremont,279
Pierrefonds–Roxboro,584
Plateau-Mont-Royal,1076
Pointe-Claire,243
Rivière-des-Prairies–Pointe-aux-Trembles,2246
Rosemont–La Petite Patrie,1766
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1161
Saint-Léonard,1191
Senneville,<5
Sud-Ouest,1053
Verdun,1037
Ville-Marie,1059
Villeray–Saint-Michel–Parc-Extension,2359
Westmount,197
Territoire à confirmer,644
Total à Montréal,29714
