Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9071
Anjou,3113
Baie-D'Urfé,70
Beaconsfield,390
Côte-des-Neiges–Notre-Dame-de-Grâce,10392
Côte-Saint-Luc,2456
Dollard-des-Ormeaux,2338
Dorval,693
Hampstead,355
Kirkland,599
Lachine,2610
LaSalle,4736
L'Île-Bizard–Sainte-Geneviève,897
Mercier–Hochelaga-Maisonneuve,7757
Montréal-Est,241
Montréal-Nord,8256
Montréal-Ouest,145
Mont-Royal,1003
Outremont,1149
Pierrefonds–Roxboro,3554
Plateau-Mont-Royal,3963
Pointe-Claire,924
Rivière-des-Prairies–Pointe-aux-Trembles,8045
Rosemont–La Petite Patrie,6257
Sainte-Anne-de-Bellevue,122
Saint-Laurent,6845
Saint-Léonard,6880
Senneville,22
Sud-Ouest,3334
Verdun,2823
Ville-Marie,4138
Villeray–Saint-Michel–Parc-Extension,9576
Westmount,655
Territoire à confirmer,1745
Total à Montréal,115154
