Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9349
Anjou,3188
Baie-D'Urfé,76
Beaconsfield,408
Côte-des-Neiges–Notre-Dame-de-Grâce,10691
Côte-Saint-Luc,2546
Dollard-des-Ormeaux,2425
Dorval,727
Hampstead,356
Kirkland,634
Lachine,2714
LaSalle,4881
L'Île-Bizard–Sainte-Geneviève,940
Mercier–Hochelaga-Maisonneuve,7898
Montréal-Est,245
Montréal-Nord,8347
Montréal-Ouest,160
Mont-Royal,1039
Outremont,1169
Pierrefonds–Roxboro,3656
Plateau-Mont-Royal,4058
Pointe-Claire,950
Rivière-des-Prairies–Pointe-aux-Trembles,8212
Rosemont–La Petite Patrie,6392
Sainte-Anne-de-Bellevue,123
Saint-Laurent,7114
Saint-Léonard,7064
Senneville,22
Sud-Ouest,3411
Verdun,2910
Ville-Marie,4224
Villeray–Saint-Michel–Parc-Extension,9827
Westmount,665
Territoire à confirmer,1777
Total à Montréal,118198
