Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10145
Anjou,3431
Baie-D'Urfé,91
Beaconsfield,451
Côte-des-Neiges–Notre-Dame-de-Grâce,11544
Côte-Saint-Luc,2731
Dollard-des-Ormeaux,2724
Dorval,788
Hampstead,379
Kirkland,724
Lachine,2898
LaSalle,5453
L'Île-Bizard–Sainte-Geneviève,1045
Mercier–Hochelaga-Maisonneuve,8507
Montréal-Est,268
Montréal-Nord,8828
Montréal-Ouest,173
Mont-Royal,1106
Outremont,1248
Pierrefonds–Roxboro,4097
Plateau-Mont-Royal,4547
Pointe-Claire,1056
Rivière-des-Prairies–Pointe-aux-Trembles,8765
Rosemont–La Petite Patrie,6884
Sainte-Anne-de-Bellevue,135
Saint-Laurent,8053
Saint-Léonard,7584
Senneville,23
Sud-Ouest,3761
Verdun,3071
Ville-Marie,4623
Villeray–Saint-Michel–Parc-Extension,10709
Westmount,713
Territoire à confirmer,1871
Total à Montréal,128426
