Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,5310
Anjou,1712
Baie-D'Urfé,56
Beaconsfield,240
Côte-des-Neiges–Notre-Dame-de-Grâce,6066
Côte-Saint-Luc,1533
Dollard-des-Ormeaux,1348
Dorval,471
Hampstead,196
Kirkland,371
Lachine,1547
LaSalle,2950
L'Île-Bizard–Sainte-Geneviève,540
Mercier–Hochelaga-Maisonneuve,4762
Montréal-Est,129
Montréal-Nord,5240
Montréal-Ouest,73
Mont-Royal,691
Outremont,789
Pierrefonds–Roxboro,2012
Plateau-Mont-Royal,2496
Pointe-Claire,604
Rivière-des-Prairies–Pointe-aux-Trembles,4814
Rosemont–La Petite Patrie,4075
Sainte-Anne-de-Bellevue,78
Saint-Laurent,3658
Saint-Léonard,3682
Senneville,19
Sud-Ouest,2258
Verdun,1805
Ville-Marie,2599
Villeray–Saint-Michel–Parc-Extension,5702
Westmount,445
Territoire à confirmer,1377
Total à Montréal,69648
