Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,9601
Anjou,3282
Baie-D'Urfé,80
Beaconsfield,417
Côte-des-Neiges–Notre-Dame-de-Grâce,11008
Côte-Saint-Luc,2601
Dollard-des-Ormeaux,2505
Dorval,749
Hampstead,365
Kirkland,655
Lachine,2786
LaSalle,5026
L'Île-Bizard–Sainte-Geneviève,982
Mercier–Hochelaga-Maisonneuve,8138
Montréal-Est,258
Montréal-Nord,8448
Montréal-Ouest,163
Mont-Royal,1063
Outremont,1194
Pierrefonds–Roxboro,3791
Plateau-Mont-Royal,4180
Pointe-Claire,976
Rivière-des-Prairies–Pointe-aux-Trembles,8429
Rosemont–La Petite Patrie,6568
Sainte-Anne-de-Bellevue,130
Saint-Laurent,7374
Saint-Léonard,7240
Senneville,22
Sud-Ouest,3513
Verdun,2972
Ville-Marie,4340
Villeray–Saint-Michel–Parc-Extension,10089
Westmount,677
Territoire à confirmer,1812
Total à Montréal,121434
