Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10493
Anjou,3525
Baie-D'Urfé,95
Beaconsfield,481
Côte-des-Neiges–Notre-Dame-de-Grâce,11879
Côte-Saint-Luc,2810
Dollard-des-Ormeaux,2809
Dorval,808
Hampstead,392
Kirkland,766
Lachine,2951
LaSalle,5652
L'Île-Bizard–Sainte-Geneviève,1068
Mercier–Hochelaga-Maisonneuve,8776
Montréal-Est,273
Montréal-Nord,9068
Montréal-Ouest,187
Mont-Royal,1119
Outremont,1267
Pierrefonds–Roxboro,4232
Plateau-Mont-Royal,4716
Pointe-Claire,1071
Rivière-des-Prairies–Pointe-aux-Trembles,8964
Rosemont–La Petite Patrie,7052
Sainte-Anne-de-Bellevue,141
Saint-Laurent,8323
Saint-Léonard,7760
Senneville,23
Sud-Ouest,3944
Verdun,3158
Ville-Marie,4872
Villeray–Saint-Michel–Parc-Extension,11191
Westmount,737
Territoire à confirmer,1917
Total à Montréal,132520
