Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,10235
Anjou,3464
Baie-D'Urfé,92
Beaconsfield,458
Côte-des-Neiges–Notre-Dame-de-Grâce,11621
Côte-Saint-Luc,2751
Dollard-des-Ormeaux,2750
Dorval,787
Hampstead,383
Kirkland,733
Lachine,2904
LaSalle,5515
L'Île-Bizard–Sainte-Geneviève,1050
Mercier–Hochelaga-Maisonneuve,8568
Montréal-Est,268
Montréal-Nord,8875
Montréal-Ouest,178
Mont-Royal,1109
Outremont,1252
Pierrefonds–Roxboro,4144
Plateau-Mont-Royal,4600
Pointe-Claire,1065
Rivière-des-Prairies–Pointe-aux-Trembles,8797
Rosemont–La Petite Patrie,6926
Sainte-Anne-de-Bellevue,136
Saint-Laurent,8137
Saint-Léonard,7627
Senneville,23
Sud-Ouest,3794
Verdun,3083
Ville-Marie,4680
Villeray–Saint-Michel–Parc-Extension,10802
Westmount,721
Territoire à confirmer,1878
Total à Montréal,129406
