Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3473
Anjou,1080
Baie-D'Urfé,42
Beaconsfield,125
Côte-des-Neiges–Notre-Dame-de-Grâce,3891
Côte-Saint-Luc,1068
Dollard-des-Ormeaux,825
Dorval,321
Hampstead,127
Kirkland,225
Lachine,1006
LaSalle,1961
L'Île-Bizard–Sainte-Geneviève,291
Mercier–Hochelaga-Maisonneuve,3501
Montréal-Est,73
Montréal-Nord,3676
Montréal-Ouest,53
Mont-Royal,501
Outremont,586
Pierrefonds–Roxboro,1012
Plateau-Mont-Royal,1766
Pointe-Claire,311
Rivière-des-Prairies–Pointe-aux-Trembles,3161
Rosemont–La Petite Patrie,2754
Sainte-Anne-de-Bellevue,26
Saint-Laurent,2140
Saint-Léonard,1977
Senneville,8
Sud-Ouest,1592
Verdun,1376
Ville-Marie,1911
Villeray–Saint-Michel–Parc-Extension,3776
Westmount,286
Territoire à confirmer,1008
Total à Montréal,45929
