Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,3383
Anjou,1061
Baie-D'Urfé,37
Beaconsfield,122
Côte-des-Neiges–Notre-Dame-de-Grâce,3795
Côte-Saint-Luc,1017
Dollard-des-Ormeaux,788
Dorval,320
Hampstead,124
Kirkland,220
Lachine,964
LaSalle,1872
L'Île-Bizard–Sainte-Geneviève,287
Mercier–Hochelaga-Maisonneuve,3426
Montréal-Est,70
Montréal-Nord,3597
Montréal-Ouest,48
Mont-Royal,482
Outremont,573
Pierrefonds–Roxboro,984
Plateau-Mont-Royal,1722
Pointe-Claire,304
Rivière-des-Prairies–Pointe-aux-Trembles,3086
Rosemont–La Petite Patrie,2697
Sainte-Anne-de-Bellevue,25
Saint-Laurent,2066
Saint-Léonard,1911
Senneville,8
Sud-Ouest,1557
Verdun,1353
Ville-Marie,1876
Villeray–Saint-Michel–Parc-Extension,3666
Westmount,283
Territoire à confirmer,992
Total à Montréal,44716
