Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,8448
Anjou,2833
Baie-D'Urfé,67
Beaconsfield,363
Côte-des-Neiges–Notre-Dame-de-Grâce,9371
Côte-Saint-Luc,2183
Dollard-des-Ormeaux,2141
Dorval,648
Hampstead,315
Kirkland,528
Lachine,2469
LaSalle,4447
L'Île-Bizard–Sainte-Geneviève,854
Mercier–Hochelaga-Maisonneuve,7189
Montréal-Est,220
Montréal-Nord,7802
Montréal-Ouest,122
Mont-Royal,927
Outremont,1064
Pierrefonds–Roxboro,3219
Plateau-Mont-Royal,3703
Pointe-Claire,844
Rivière-des-Prairies–Pointe-aux-Trembles,7557
Rosemont–La Petite Patrie,5881
Sainte-Anne-de-Bellevue,114
Saint-Laurent,6159
Saint-Léonard,6423
Senneville,22
Sud-Ouest,3155
Verdun,2549
Ville-Marie,3902
Villeray–Saint-Michel–Parc-Extension,8940
Westmount,606
Territoire à confirmer,1683
Total à Montréal,106748
