Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2472
Anjou,734
Baie-D'Urfé,31
Beaconsfield,62
Côte-des-Neiges–Notre-Dame-de-Grâce,2352
Côte-Saint-Luc,543
Dollard-des-Ormeaux,447
Dorval,205
Hampstead,59
Kirkland,123
Lachine,698
LaSalle,1289
L'Île-Bizard–Sainte-Geneviève,223
Mercier–Hochelaga-Maisonneuve,2469
Montréal-Est,48
Montréal-Nord,2649
Montréal-Ouest,29
Mont-Royal,284
Outremont,279
Pierrefonds–Roxboro,582
Plateau-Mont-Royal,1068
Pointe-Claire,241
Rivière-des-Prairies–Pointe-aux-Trembles,2235
Rosemont–La Petite Patrie,1754
Sainte-Anne-de-Bellevue,18
Saint-Laurent,1155
Saint-Léonard,1181
Senneville,<5
Sud-Ouest,1028
Verdun,1020
Ville-Marie,1050
Villeray–Saint-Michel–Parc-Extension,2346
Westmount,196
Territoire à confirmer,643
Total à Montréal,29515
