Arrondissements,Cas Confirmés
Ahuntsic–Cartierville,2179
Anjou,657
Baie-D'Urfé,29
Beaconsfield,58
Côte-des-Neiges–Notre-Dame-de-Grâce,2070
Côte-Saint-Luc,495
Dollard-des-Ormeaux,400
Dorval,177
Hampstead,53
Kirkland,104
Lachine,563
LaSalle,1101
L'Île-Bizard–Sainte-Geneviève,193
Mercier–Hochelaga-Maisonneuve,2153
Montréal-Est,41
Montréal-Nord,2411
Montréal-Ouest,19
Mont-Royal,255
Outremont,250
Pierrefonds–Roxboro,513
Plateau-Mont-Royal,848
Pointe-Claire,213
Rivière-des-Prairies–Pointe-aux-Trembles,2046
Rosemont–La Petite Patrie,1471
Sainte-Anne-de-Bellevue,17
Saint-Laurent,1014
Saint-Léonard,1057
Senneville,<5
Sud-Ouest,862
Verdun,912
Ville-Marie,736
Villeray–Saint-Michel–Parc-Extension,1968
Westmount,174
Territoire à confirmer,859
Total à Montréal,25900
